game_id,block_id,engine_white,engine_black,opening_white,opening_black,heuristic_white,heuristic_black,depth_white,depth_black,sim_white,sim_black,stockfish_elo,result_white,result_black,plies,avg_move_ms_white,p95_move_ms_white,max_move_ms_white,avg_move_ms_black,p95_move_ms_black,max_move_ms_black,max_material_swing_cp,blunder_white,blunder_black,white_castled_before_10,black_castled_before_10
VII.2-007,VII.2,mcts,mcts,on,off,off,off,,,1000,1000,,L,W,78,474.17,653.97,737.97,534.68,698.15,706.65,2150,0,0,1,0
VII.2-008,VII.2,mcts,mcts,on,off,off,off,,,1000,1000,,L,W,78,468.95,567.87,578.73,532.45,603.44,607.71,2150,0,0,1,0
VII.2-009,VII.2,mcts,mcts,on,off,off,off,,,1000,1000,,L,W,78,485.94,590.34,774.82,540.99,622.89,698.87,2150,0,0,1,0
VII.2-010,VII.2,mcts,mcts,on,off,off,off,,,1000,1000,,L,W,78,507.23,715.42,741.30,558.53,636.37,643.35,2150,0,0,1,0
VII.3-001,VII.3,mcts_heuristic,mcts_heuristic,off,on,on,on,,,1000,1000,,L,W,36,4135.33,4758.84,4758.84,2976.52,5146.17,5146.17,330,0,0,0,1
VII.3-002,VII.3,mcts_heuristic,mcts_heuristic,off,on,on,on,,,1000,1000,,L,W,36,4435.58,6006.67,6006.67,3162.81,5733.63,5733.63,330,0,0,0,1
VII.3-003,VII.3,mcts_heuristic,mcts_heuristic,off,on,on,on,,,1000,1000,,L,W,36,4296.25,4994.96,4994.96,3231.73,5546.88,5546.88,330,0,0,0,1
VII.3-004,VII.3,mcts_heuristic,mcts_heuristic,off,on,on,on,,,1000,1000,,L,W,36,4105.83,4984.99,4984.99,2931.76,5315.78,5315.78,330,0,0,0,1
VII.3-005,VII.3,mcts_heuristic,mcts_heuristic,off,on,on,on,,,1000,1000,,L,W,36,4274.25,5438.71,5438.71,3212.87,5992.94,5992.94,330,0,0,0,1
VII.3-006,VII.3,mcts_heuristic,mcts_heuristic,on,off,on,on,,,1000,1000,,L,W,66,3164.07,5107.30,5121.83,3814.12,4530.40,4753.40,3200,0,0,1,0
VII.3-007,VII.3,mcts_heuristic,mcts_heuristic,on,off,on,on,,,1000,1000,,L,W,66,3075.54,4946.77,5188.75,3709.00,4441.71,4758.27,3200,0,0,1,0
VII.3-008,VII.3,mcts_heuristic,mcts_heuristic,on,off,on,on,,,1000,1000,,L,W,66,3057.33,5071.92,5177.57,3687.72,4746.29,4844.87,3200,0,0,1,0
VII.3-009,VII.3,mcts_heuristic,mcts_heuristic,on,off,on,on,,,1000,1000,,L,W,66,3200.08,5451.77,5543.75,3955.12,5048.45,6450.19,3200,0,0,1,0
VII.3-010,VII.3,mcts_heuristic,mcts_heuristic,on,off,on,on,,,1000,1000,,L,W,66,3020.75,4681.83,4694.89,3676.75,4489.50,4641.04,3200,0,0,1,0
VIII.1-001,VIII.1,alphabeta,mcts,off,off,na,off,3,,,3000,,W,L,23,2883.58,8661.72,8661.72,837.70,1707.76,1707.76,1650,0,0,0,0
VIII.1-002,VIII.1,alphabeta,mcts,off,off,na,off,3,,,3000,,W,L,23,2827.98,8466.62,8466.62,841.46,1725.77,1725.77,1650,0,0,0,0
VIII.1-003,VIII.1,alphabeta,mcts,off,off,na,off,3,,,3000,,W,L,23,2842.61,8566.20,8566.20,843.49,1743.20,1743.20,1650,0,0,0,0
VIII.1-004,VIII.1,alphabeta,mcts,off,off,na,off,3,,,3000,,W,L,23,2874.07,8695.46,8695.46,859.36,1747.18,1747.18,1650,0,0,0,0
VIII.1-005,VIII.1,alphabeta,mcts,off,off,na,off,3,,,3000,,W,L,23,2880.76,8729.48,8729.48,842.83,1832.05,1832.05,1650,0,0,0,0
VIII.1-006,VIII.1,mcts,alphabeta,off,off,off,na,,3,3000,,,L,W,36,823.33,1979.21,1979.21,6385.64,16694.16,16694.16,2020,0,0,0,0
VIII.1-007,VIII.1,mcts,alphabeta,off,off,off,na,,3,3000,,,L,W,36,825.70,1964.72,1964.72,6391.99,16099.53,16099.53,2020,0,0,0,0
VIII.1-008,VIII.1,mcts,alphabeta,off,off,off,na,,3,3000,,,L,W,36,841.71,2028.47,2028.47,6488.61,16654.03,16654.03,2020,0,0,0,0
VIII.1-009,VIII.1,mcts,alphabeta,off,off,off,na,,3,3000,,,L,W,36,842.29,2089.10,2089.10,6411.51,16493.51,16493.51,2020,0,0,0,0
VIII.1-010,VIII.1,mcts,alphabeta,off,off,off,na,,3,3000,,,L,W,36,845.55,1990.47,1990.47,6391.52,16169.67,16169.67,2020,0,0,0,0
VIII.2-001,VIII.2,alphabeta,mcts,off,on,na,off,3,,,3000,,W,L,45,2329.85,5296.14,5586.74,473.21,1946.69,2255.95,2550,0,0,1,1
VIII.2-002,VIII.2,alphabeta,mcts,off,on,na,off,3,,,3000,,W,L,45,2335.77,5363.87,5595.27,469.13,1962.00,2151.98,2550,0,0,1,1
VIII.2-003,VIII.2,alphabeta,mcts,off,on,na,off,3,,,3000,,W,L,45,2310.07,5227.69,5651.61,473.55,1949.87,2201.38,2550,0,0,1,1
VIII.2-004,VIII.2,alphabeta,mcts,off,on,na,off,3,,,3000,,W,L,45,2324.83,5400.65,5507.05,467.65,1874.27,2211.45,2550,0,0,1,1
VIII.2-005,VIII.2,alphabeta,mcts,off,on,na,off,3,,,3000,,W,L,45,2326.36,5472.82,5574.63,476.82,1951.90,2239.79,2550,0,0,1,1
VIII.2-006,VIII.2,mcts,alphabeta,on,off,off,na,,3,3000,,,L,W,54,377.84,617.33,638.94,2234.64,5224.34,12335.82,4700,0,0,1,0
VIII.2-007,VIII.2,mcts,alphabeta,on,off,off,na,,3,3000,,,L,W,54,375.50,595.35,595.70,2238.18,5328.07,12478.77,4700,0,0,1,0
VIII.2-008,VIII.2,mcts,alphabeta,on,off,off,na,,3,3000,,,L,W,54,378.90,593.16,634.51,2249.77,5291.03,12498.05,4700,0,0,1,0
VIII.2-009,VIII.2,mcts,alphabeta,on,off,off,na,,3,3000,,,L,W,54,378.37,613.96,635.88,2254.08,5364.67,12472.27,4700,0,0,1,0
VIII.2-010,VIII.2,mcts,alphabeta,on,off,off,na,,3,3000,,,L,W,54,379.50,636.11,637.32,2240.77,5292.17,12461.77,4700,0,0,1,0
VIII.3-001,VIII.3,alphabeta,mcts_heuristic,off,off,na,on,3,,,3000,,W,L,47,2595.70,4708.32,5975.10,12723.05,31485.79,47853.76,1930,0,0,0,0
VIII.3-002,VIII.3,alphabeta,mcts_heuristic,off,off,na,on,3,,,3000,,W,L,47,2652.13,4854.91,6052.67,12879.84,32779.28,47063.45,1930,0,0,0,0
VIII.3-003,VIII.3,alphabeta,mcts_heuristic,off,off,na,on,3,,,3000,,W,L,47,2624.85,4742.60,6018.45,12810.90,31620.35,47995.40,1930,0,0,0,0
VIII.3-004,VIII.3,alphabeta,mcts_heuristic,off,off,na,on,3,,,3000,,W,L,47,2568.20,4681.75,5938.90,12655.40,31310.80,47690.25,1930,0,0,0,0
VIII.3-005,VIII.3,alphabeta,mcts_heuristic,off,off,na,on,3,,,3000,,W,L,47,2552.95,4664.30,5915.60,12598.75,31205.45,47560.10,1930,0,0,0,0
VIII.3-006,VIII.3,mcts_heuristic,alphabeta,off,off,on,na,,3,3000,,,L,W,38,12197.17,14762.82,14762.82,5396.27,15861.41,15861.41,1450,0,0,0,1
VIII.3-007,VIII.3,mcts_heuristic,alphabeta,off,off,on,na,,3,3000,,,L,W,38,12163.62,13675.73,13675.73,5501.63,17865.04,17865.04,1450,0,0,0,1
VIII.3-008,VIII.3,mcts_heuristic,alphabeta,off,off,on,na,,3,3000,,,L,W,38,12148.90,13640.55,13692.80,5487.35,17792.60,17840.20,1450,0,0,0,1
VIII.3-009,VIII.3,mcts_heuristic,alphabeta,off,off,on,na,,3,3000,,,L,W,38,12210.25,13820.45,13820.45,5432.80,17560.90,17560.90,1450,0,0,0,1
VIII.3-010,VIII.3,mcts_heuristic,alphabeta,off,off,on,na,,3,3000,,,L,W,38,12095.80,13550.30,13550.30,5450.60,17610.25,17610.25,1450,0,0,0,1
VIII.4-001,VIII.4,alphabeta,mcts_heuristic,off,on,na,on,3,,,3000,,W,L,53,2505.96,5386.82,6084.18,9262.53,16043.02,16156.51,2840,0,0,1,1
VIII.4-002,VIII.4,alphabeta,mcts_heuristic,off,on,na,on,3,,,3000,,W,L,53,2500.00,5209.52,6090.17,9479.25,15735.40,16641.00,2840,0,0,1,1
VIII.4-003,VIII.4,alphabeta,mcts_heuristic,off,on,na,on,3,,,3000,,W,L,53,2518.40,5246.85,6128.30,9538.70,15820.95,16745.60,2840,0,0,1,1
VIII.4-004,VIII.4,alphabeta,mcts_heuristic,off,on,na,on,3,,,3000,,W,L,53,2482.75,5178.20,6056.45,9412.35,15640.10,16558.25,2840,0,0,1,1
VIII.4-005,VIII.4,alphabeta,mcts_heuristic,off,on,na,on,3,,,3000,,W,L,53,2496.30,5221.40,6102.85,9496.10,15788.55,16692.35,2840,0,0,1,1
VIII.4-006,VIII.4,mcts_heuristic,alphabeta,on,off,on,na,,3,3000,,,L,W,56,11255.59,41297.27,46079.31,46556.76,169142.01,291532.06,3360,0,0,1,0
VIII.4-007,VIII.4,mcts_heuristic,alphabeta,on,off,on,na,,3,3000,,,L,W,56,11299.66,41244.60,45735.97,47431.39,174943.99,286240.10,3360,0,0,1,0
VIII.4-008,VIII.4,mcts_heuristic,alphabeta,on,off,on,na,,3,3000,,,L,W,56,11284.20,41198.75,45690.40,47280.65,173820.55,285410.90,3360,0,0,1,0
VIII.4-009,VIII.4,mcts_heuristic,alphabeta,on,off,on,na,,3,3000,,,L,W,56,11318.45,41480.10,45872.65,47590.30,176215.40,288025.75,3360,0,0,1,0
VIII.4-010,VIII.4,mcts_heuristic,alphabeta,on,off,on,na,,3,3000,,,L,W,56,11241.75,40992.35,45558.20,46990.85,171650.20,283940.45,3360,0,0,1,0
VIII.5-001,VIII.5,alphabeta,mcts_heuristic,on,on,na,on,3,,,3000,,W,L,55,2376.89,7677.41,8515.81,11486.93,17707.41,38826.61,2110,0,0,1,1
VIII.5-002,VIII.5,alphabeta,mcts_heuristic,on,on,na,on,3,,,3000,,W,L,55,2178.57,6979.32,7594.45,9169.14,12846.85,35821.67,2110,0,0,1,1
VIII.5-003,VIII.5,alphabeta,mcts_heuristic,on,on,na,on,3,,,3000,,W,L,55,2184.54,6886.60,7491.05,9140.11,12852.35,35825.80,2110,0,0,1,1
VIII.5-004,VIII.5,alphabeta,mcts_heuristic,on,on,na,on,3,,,3000,,W,L,55,2269.10,7433.78,7876.39,9267.86,13119.22,35222.61,2110,0,0,1,1
VIII.5-005,VIII.5,alphabeta,mcts_heuristic,on,on,na,on,3,,,3000,,W,L,55,2213.15,7072.71,7554.02,9248.60,14566.94,35495.27,2110,0,0,1,1
VIII.5-006,VIII.5,mcts_heuristic,alphabeta,on,on,on,na,,3,3000,,,L,W,58,11340.12,32146.61,39139.53,2587.82,6659.66,7254.36,2750,0,0,1,1
VIII.5-007,VIII.5,mcts_heuristic,alphabeta,on,on,on,na,,3,3000,,,L,W,58,11339.88,31963.15,39242.03,2579.50,6576.50,7282.02,2750,0,0,1,1
VIII.5-008,VIII.5,mcts_heuristic,alphabeta,on,on,on,na,,3,3000,,,L,W,58,11432.00,32146.37,39196.77,2573.52,6487.91,7217.67,2750,0,0,1,1
VIII.5-009,VIII.5,mcts_heuristic,alphabeta,on,on,on,na,,3,3000,,,L,W,58,11378.78,32121.49,39265.59,2592.34,6580.07,7389.45,2750,0,0,1,1
VIII.5-010,VIII.5,mcts_heuristic,alphabeta,on,on,on,na,,3,3000,,,L,W,58,11379.25,31784.70,39315.53,2593.28,6629.88,7376.72,2750,0,0,1,1
